KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Bos.taurus	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	Chiroptera.Vespertilionidae.Tylonycteris.UNK	Erinaceomorpha.Erinaceidae.Hylomys.suillus	Lagomorpha.Leporidae.Nesolagus.timminsi	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki	Rodentia.Hystricidae.Hystrix.UNK	Rodentia.Muridae.Mus.musculus	Rodentia.Muridae.Niviventer.UNK	Rodentia.Sciuridae.Callosciurus.erythraeus	Rodentia.Sciuridae.Callosciurus.UNK1	Rodentia.Sciuridae.Callosciurus.UNK2	Rodentia.Sciuridae.Hylopetes.UNK1	Rodentia.Sciuridae.Hylopetes.UNK2	Rodentia.Sciuridae.Petaurista.philippensis	Rodentia.Sciuridae.Ratufa.bicolor	Rodentia.Sciuridae.Tamiops.UNK	Rodentia.Spalacidae.Rhizomys.pruinosus	Scandentia.Tupaiidae.Tupaia.belangeri	Soricomorpha.Talpidae.Euroscaptor.UNK	reservecode3
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	     0	     0	     0	     0	     0	     0	     0	  2001	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    26	     0	     0	     0	163450	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	     0	     0	     0	     0	     0	     0	     0	230855	     0	     0	     0	     0	     0	     0	    23	     0	     0	     0	     0	     0	 12366	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     7	   179	     0	     0	     0	    11	  1767	  1031	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   169	     0	     0	     0	PST
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	    0	    0	    0	    0	    0	    0	    0	87684	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	14365	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	PST
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	     0	     0	     7	     0	     0	     0	     0	125161	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    15	     0	     0	     0	     0	     5	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     3	     0	     0	     0	   156	     0	     0	     0	     0	     0	     0	     0	    18	     0	    27	     0	PST
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	     0	     0	     6	     0	     0	     0	     0	123232	     0	     0	     0	     0	     0	     0	     0	     8	     0	     0	     0	     0	   223	     0	 10675	     0	     0	   747	     0	     0	     0	     0	     0	     0	     0	     5	     0	     0	     0	     0	    12	     0	     0	     0	    59	    27	     0	     0	     0	     0	     0	     0	    47	  3776	     0	     0	PST
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	    0	    0	    0	   16	    0	    0	    0	  130	    0	    0	    0	    0	    0	    0	   22	    0	    0	    0	    0	 1061	39065	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	72462	    0	    0	    0	    0	    0	    0	    0	    4	    0	39228	    0	PST
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	    0	  700	    0	    0	    0	    0	    0	39424	    0	    0	    0	    0	    0	    0	  100	    0	    0	16985	    0	    0	88643	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   14	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  324	    0	    0	    0	PST
SWG25	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	31	NA	     0	   371	     0	     0	     0	     0	     0	187621	     0	     0	     0	     0	     5	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   251	  1093	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   276	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG26	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 -6 10	NA	NA	24	NA	     0	     0	     0	     0	     0	     0	     0	108295	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  1058	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  6243	     0	     0	     0	PST
SWG27	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	3 10	NA	NA	1	NA	     0	   462	205941	 10509	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   226	     0	     0	     0	     0	     0	     0	     0	     5	     0	     0	     0	PST
SWG28	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	6 10	NA	NA	22	NA	     0	     0	     0	     0	     0	     0	     0	    15	     0	     0	     0	     0	     0	     0	     5	  7653	     0	     0	     3	     0	  9269	    12	223728	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   213	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG29	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	2 10	NA	NA	14	NA	     0	    84	 33723	  1698	    78	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	192651	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  1455	     0	     0	     0	  1438	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG3	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	30 09-01 10	NA	NA	70	NA	     0	     0	     0	     0	     0	     0	     0	178769	     0	     0	     0	     0	     0	     0	     5	     0	     0	    16	     0	     0	  1461	     0	     0	     0	     0	     6	     0	     0	     0	     0	     0	     0	     8	     0	  2845	     0	    10	  2899	  1454	     0	     4	     0	  1184	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	PST
SWG30	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	7 10	NA	NA	33	NA	    0	    0	    0	    0	    0	    0	    0	 1060	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	23723	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	PST
SWG31	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	8 10	NA	NA	37	NA	     0	    13	 20220	   107	    83	     0	     0	    31	     0	     0	     0	     0	     0	     0	     0	   326	     0	     0	     0	     0	   980	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    82	     0	     0	     0	240839	     0	     0	     0	     0	     0	     0	     0	  1894	     0	     0	     0	PST
