KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Bovidae.Pseudoryx.UNK	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK
SWG41	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	9 10	NA	NA	183	NA	    0	    0	  694	   18	    0	    0	    0	20657	    0	    0
SWG43	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	12 10	NA	NA	10	NA	     0	  4038	     0	     0	     0	     0	     0	238973	     0	     0
SWG44	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	12 10	NA	NA	75	NA	     0	   356	     0	     5	     0	     0	     0	184665	     0	     0
SWG45	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	9 10	NA	NA	114	NA	     0	     0	     0	     0	     0	     0	     0	189576	     0	     0
SWG46	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	10 10	NA	NA	35	NA	     0	     0	     0	     0	     0	     0	     0	295773	     0	     0
SWG49	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	8-10 10	NA	NA	32	NA	   122	     0	 34659	  2506	   183	     0	     0	153176	     0	     0
SWG5	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	28 09	NA	NA	20	NA	     0	     0	     0	     0	     0	     0	     0	240325	     0	     0
SWG51	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	11-12 10	NA	NA	133	NA	     0	     0	     0	     0	     0	     0	     0	440666	     0	     0
SWG52	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	14 10	NA	NA	220	NA	     0	     0	     0	     0	     0	     0	     0	357638	     0	     0
SWG54	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	16-17 10	NA	NA	122	NA	    0	    0	    0	    0	    0	    0	    0	66290	    0	    0
SWG55	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	11 10	NA	NA	3	NA	    0	    0	    0	    0	    0	    0	    0	90047	    0	    0
SWG56	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	12 10	NA	NA	32	NA	   45	    0	18327	  459	    5	    0	    0	    0	    0	    0
SWG57	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	14 10	NA	NA	221	NA	     0	     0	    65	     0	    30	     0	     0	182796	     0	     0
SWG58	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	17 10	NA	NA	67	NA	     0	     0	     0	     0	     5	     0	     0	407361	     0	     0
SWG59	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	11 10	NA	NA	14	NA	378431	     0	     0	     0	     6	     0	     0	     3	     0	     0
SWG6	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	28 09	NA	NA	17	NA	     0	     0	   205	     9	     3	     0	     0	176061	     0	     0
SWG60	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	15-17 10	NA	NA	30	NA	0	8	0	0	0	0	0	0	0	0
SWG61	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	12 10	NA	NA	133	NA	  0	  0	  0	  0	  0	  0	  0	303	  0	  0
SWG62	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	18 10	NA	NA	241	NA	     0	     0	   194	     0	     0	     0	     0	382201	     0	     0
SWG63	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	316	NA	     0	     0	    40	     0	     0	     0	     0	260994	     0	     0
SWG64	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	19 10	NA	NA	455	NA	     0	     0	     0	     0	     0	     0	     0	376002	     0	     0
SWG65	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	16-17 10	NA	NA	87	NA	   786	     0	346644	  7908	   668	    14	     0	151241	     0	     0
SWG66	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13 10	NA	NA	13	NA	   0	 591	   0	   0	   0	   0	   0	1500	   0	   0
SWG67	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13-14 & 17 10	NA	NA	171	NA	     0	     0	     0	     0	     0	     0	     0	242917	     0	     0
SWG68	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13-14 10	NA	NA	148	NA	     0	     0	     0	     0	     0	     0	     0	137068	     0	     0
SWG69	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	10 10	NA	NA	15	NA	     0	     0	    34	     4	     0	     0	     0	225576	     0	     0
SWG7	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	28-29 09	NA	NA	17	NA	     0	     0	     0	     0	     0	     0	     0	200353	     0	     0
SWG75	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	187	NA	     0	     0	     0	     0	     0	     0	     0	352182	     0	     0
SWG78	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	18 10	NA	NA	425	NA	     0	     0	   191	     0	     0	     0	     0	270826	     0	     0
SWG79	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	17 10	NA	NA	101	NA	  0	  0	  0	  0	  0	  0	  0	362	  0	  0
SWG8	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	28-29 09	NA	NA	40	NA	     0	     0	     0	     0	     0	     0	     0	219973	     0	     0
SWG80	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	13-14 10	NA	NA	44	NA	     9	     0	  5468	   131	    65	     0	     0	121717	     0	     0
SWG9	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	Phou Si Thone	29 09	NA	NA	10	NA	  0	  0	  0	  0	  0	  0	  0	450	  0	  0
WWF1	tube_labels	Vietnam	HSL	HSL	Hue SNR	NA	NA	VINH.BUIHUU_20120724	NA	NA	758	  0	  0	  0	  0	  0	  0	  5	  0	  0
WWF10	tube_labels	Vietnam	QNSL	QNSL	Quang Nam SNR	NA	NA	TK36_20120812	NA	NA	    5	    0	    0	    0	    0	    0	    0	81357	    0	    0
WWF100	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	19/8/2012	353	27-Hoa	15	H-27	     0	     0	     0	     0	     0	     0	     0	155003	     0	     0
WWF101	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41165	351	40-Hoa	45	H-40	     0	     0	   765	     4	     7	     0	   254	251124	     0	     0
