KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki
SWG46	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	10 10	NA	NA	35	NA	0	0	0	0	0	6	0
SWG49	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8-10 10	NA	NA	32	NA	0	0	0	0	0	0	0
SWG5	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	20	NA	 0	 0	 0	 0	 0	10	 0
SWG51	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11-12 10	NA	NA	133	NA	  0	  0	  0	  0	  0	805	  0
SWG52	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	220	NA	   0	1902	   0	   7	   0	   0	   0
SWG54	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	122	NA	0	0	0	0	0	0	0
SWG55	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	3	NA	0	0	0	0	0	0	0
SWG56	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	32	NA	    0	    0	    0	    0	    0	12657	    0
SWG57	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	221	NA	129	356	  0	  4	  0	  0	  0
SWG58	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	17 10	NA	NA	67	NA	  0	  0	  0	  0	  0	501	  0
SWG59	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	14	NA	 0	 0	 0	 0	 0	18	 0
SWG6	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	17	NA	  0	  0	  0	  0	  0	249	  0
SWG60	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	15-17 10	NA	NA	30	NA	 0	 0	 0	 0	 0	47	 0
SWG61	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	133	NA	  0	  0	  0	  0	  0	391	  0
SWG62	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	18 10	NA	NA	241	NA	3	0	0	0	0	0	0
SWG63	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	316	NA	318	184	  0	  0	  0	 47	  0
SWG64	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	19 10	NA	NA	455	NA	 0	 0	 0	 0	 0	39	 0
SWG65	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	87	NA	4610	  81	   0	   0	 263	 171	   0
SWG66	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 10	NA	NA	13	NA	  0	  0	  0	  0	  0	989	  0
