taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
115279	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Bufonidae;family;Duttaphrynus;genus;Duttaphrynus melanostictus;species;	Duttaphrynus melanostictus	species	1
23787	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Bufonidae;family;Ingerophrynus;genus;	Ingerophrynus	genus	2
152130	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Bufonidae;family;Ingerophrynus;genus;Ingerophrynus galeatus;species;	Ingerophrynus galeatus	species	2
4278	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;	Ranidae	family	3
31353	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Odorrana;genus;	Odorrana	genus	1
195710	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Odorrana;genus;Odorrana chloronota;species;	Odorrana chloronota	species	1
6881	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Amolops;genus;	Amolops	genus	1
-6882	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Amolops;genus;unclassified_Amolops;;	unclassified_Amolops		1
38492	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Rana;genus;	Rana	genus	1
-38493	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Ranidae;family;Rana;genus;unclassified_Rana;;	unclassified_Rana		1
-3124	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;unclassified_Megophryidae;;	unclassified_Megophryidae		1
2661	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Hylidae;family;	Hylidae	family	1
37205	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Hylidae;family;Pseudacris;genus;	Pseudacris	genus	1
225325	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Hylidae;family;Pseudacris;genus;Pseudacris crucifer;species;	Pseudacris crucifer	species	1
-1891	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Dicroglossidae;family;unclassified_Dicroglossidae;;	unclassified_Dicroglossidae		1
-136	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;unclassified_Anura;;	unclassified_Anura		1
-83	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;unclassified_Mammalia;;	unclassified_Mammalia		562
42	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;	Aves	class	25
132	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Anseriformes;order;	Anseriformes	order	1
800	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Anseriformes;order;Anatidae;family;	Anatidae	family	1
7136	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Anseriformes;order;Anatidae;family;Anas;genus;	Anas	genus	1
56646	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Anseriformes;order;Anatidae;family;Anas;genus;Anas poecilorhyncha;species;	Anas poecilorhyncha	species	1
287	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;	Galliformes	order	5
3836	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;	Phasianidae	family	5
20141	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Gallus;genus;	Gallus	genus	1
131551	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Gallus;genus;Gallus gallus;species;	Gallus gallus	species	1
8211	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Arborophila;genus;	Arborophila	genus	1
63664	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Arborophila;genus;Arborophila brunneopectus;species;	Arborophila brunneopectus	species	1
26309	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Lophura;genus;	Lophura	genus	1
170814	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;Lophura;genus;Lophura nycthemera;species;	Lophura nycthemera	species	1
-3837	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Galliformes;order;Phasianidae;family;unclassified_Phasianidae;;	unclassified_Phasianidae		2
423	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;	Passeriformes	order	11
2862	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;Leiothrichidae;family;	Leiothrichidae	family	1
-2863	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;Leiothrichidae;family;unclassified_Leiothrichidae;;	unclassified_Leiothrichidae		1
4880	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;Timaliidae;family;	Timaliidae	family	1
-4881	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;Timaliidae;family;unclassified_Timaliidae;;	unclassified_Timaliidae		1
-424	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Passeriformes;order;unclassified_Passeriformes;;	unclassified_Passeriformes		9
278	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Falconiformes;order;	Falconiformes	order	1
622	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Falconiformes;order;Accipitridae;family;	Accipitridae	family	1
41269	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Falconiformes;order;Accipitridae;family;Spilornis;genus;	Spilornis	genus	1
244687	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Falconiformes;order;Accipitridae;family;Spilornis;genus;Spilornis cheela;species;	Spilornis cheela	species	1
296	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Gruiformes;order;	Gruiformes	order	1
4273	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Gruiformes;order;Rallidae;family;	Rallidae	family	1
38463	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Gruiformes;order;Rallidae;family;Rallina;genus;	Rallina	genus	1
230605	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;Gruiformes;order;Rallidae;family;Rallina;genus;Rallina eurizonoides;species;	Rallina eurizonoides	species	1
-43	root;root;Eukaryota;superkingdom;Chordata;phylum;Aves;class;unclassified_Aves;;	unclassified_Aves		6
33	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;	Actinopteri	class	16
233	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;	Cypriniformes	order	13
1061	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Balitoridae;family;	Balitoridae	family	1
-1062	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Balitoridae;family;unclassified_Balitoridae;;	unclassified_Balitoridae		1
1790	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;	Cyprinidae	family	11
31702	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Onychostoma;genus;	Onychostoma	genus	1
197559	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Onychostoma;genus;Onychostoma gerlachi;species;	Onychostoma gerlachi	species	1
20193	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Garra;genus;	Garra	genus	1
-20194	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Garra;genus;unclassified_Garra;;	unclassified_Garra		1
39768	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Scaphiodonichthys;genus;	Scaphiodonichthys	genus	2
236552	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Scaphiodonichthys;genus;Scaphiodonichthys acanthopterus;species;	Scaphiodonichthys acanthopterus	species	2
30134	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Neolissochilus;genus;	Neolissochilus	genus	1
189374	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;Neolissochilus;genus;Neolissochilus stracheyi;species;	Neolissochilus stracheyi	species	1
-1791	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;Cyprinidae;family;unclassified_Cyprinidae;;	unclassified_Cyprinidae		6
520	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Siluriformes;order;	Siluriformes	order	1
4550	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Siluriformes;order;Sisoridae;family;	Sisoridae	family	1
20670	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Siluriformes;order;Sisoridae;family;Glyptothorax;genus;	Glyptothorax	genus	1
-20671	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Siluriformes;order;Sisoridae;family;Glyptothorax;genus;unclassified_Glyptothorax;;	unclassified_Glyptothorax		1
198	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Characiformes;order;	Characiformes	order	1
4510	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Characiformes;order;Serrasalmidae;family;	Serrasalmidae	family	1
35303	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Characiformes;order;Serrasalmidae;family;Piaractus;genus;	Piaractus	genus	1
214810	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Characiformes;order;Serrasalmidae;family;Piaractus;genus;Piaractus brachypomus;species;	Piaractus brachypomus	species	1
-234	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;Cypriniformes;order;unclassified_Cypriniformes;;	unclassified_Cypriniformes		1
-34	root;root;Eukaryota;superkingdom;Chordata;phylum;Actinopteri;class;unclassified_Actinopteri;;	unclassified_Actinopteri		1
-9	root;root;Eukaryota;superkingdom;Chordata;phylum;unclassified_Chordata;;	unclassified_Chordata		333
4	root;root;Eukaryota;superkingdom;Arthropoda;phylum;	Arthropoda	phylum	2
57	root;root;Eukaryota;superkingdom;Arthropoda;phylum;Collembola;class;	Collembola	class	2
3727	root;root;Eukaryota;superkingdom;Arthropoda;phylum;Collembola;class;Paronellidae;family;	Paronellidae	family	2
6276	root;root;Eukaryota;superkingdom;Arthropoda;phylum;Collembola;class;Paronellidae;family;Akabosia;genus;	Akabosia	genus	2
51663	root;root;Eukaryota;superkingdom;Arthropoda;phylum;Collembola;class;Paronellidae;family;Akabosia;genus;Akabosia matsudoensis;species;	Akabosia matsudoensis	species	2
-2	root;root;Eukaryota;superkingdom;unclassified_Eukaryota;;	unclassified_Eukaryota		105
